,mesa,CONSENSO FEDERAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE TODOS,FRENTE NOS,JUNTOS POR EL CAMBIO,localidad,pmale,pfemale,18-25,25-35,35-45,45-55,55-65,65-75,>75,18-25_m,25-35_m,35-45_m,45-55_m,55-65_m,65-75_m,>75_m,18-25_f,25-35_f,35-45_f,45-55_f,55-65_f,65-75_f,>75_f
209,210,-0.010039941902687002,-0.004387557492132661,-0.023238925199709493,0.0015371580731057856,0.05752844347615588,PILAR,50.28571428571429,49.714285714285715,22.41379310344828,19.25287356321839,19.25287356321839,16.379310344827587,8.908045977011495,7.471264367816093,6.321839080459771,23.255813953488367,18.023255813953487,19.186046511627904,15.116279069767439,10.465116279069766,7.558139534883719,6.395348837209302,21.59090909090909,20.454545454545453,19.318181818181817,17.613636363636363,7.386363636363638,7.386363636363638,6.25
210,211,-0.03653982060342484,-0.0018755096493612393,-0.03236749116607773,-0.0015873878771405295,0.10006251698831203,PILAR,48.28571428571429,51.714285714285715,21.22093023255814,22.38372093023256,15.69767441860465,16.27906976744186,11.918604651162793,9.011627906976743,3.4883720930232562,19.101123595505616,20.224719101123593,20.786516853932586,18.539325842696627,8.98876404494382,8.98876404494382,3.3707865168539324,23.49397590361446,24.69879518072289,10.240963855421684,13.855421686746988,15.06024096385542,9.036144578313252,3.6144578313253017
211,212,-0.00032679738562091387,0.0008685930512555909,-0.054428964568283444,-0.009176126590987273,0.09656002751977982,PILAR,46.57142857142857,53.42857142857142,18.950437317784253,22.740524781341108,20.99125364431487,15.160349854227405,13.702623906705536,6.1224489795918355,2.332361516034985,21.428571428571427,20.87912087912088,19.230769230769234,13.736263736263735,15.384615384615385,6.593406593406594,2.7472527472527477,16.149068322981368,24.84472049689441,22.981366459627328,16.770186335403732,11.801242236024844,5.590062111801243,1.8633540372670807
212,213,-0.026863313882236547,0.008559044760009443,-0.07795055148918939,0.004671636253246535,0.10399590739928716,PILAR,55.14285714285714,44.85714285714285,17.543859649122805,26.60818713450293,18.421052631578945,13.157894736842106,11.695906432748535,8.47953216374269,4.093567251461988,16.233766233766232,24.675324675324674,19.480519480519487,12.987012987012985,12.987012987012985,9.090909090909092,4.545454545454546,18.617021276595747,28.19148936170212,17.553191489361698,13.297872340425535,10.638297872340424,7.978723404255319,3.723404255319149
213,214,-0.050081105269045745,0.007772122161315585,-0.07394283476898988,-0.014249356751314467,0.1579091620986688,PILAR,50.28571428571429,49.714285714285715,21.48997134670487,20.057306590257877,23.495702005730664,13.18051575931232,8.595988538681947,8.595988538681947,4.584527220630372,23.69942196531792,19.653179190751445,20.231213872832374,12.716763005780347,9.248554913294797,9.826589595375722,4.624277456647398,19.318181818181817,20.454545454545453,26.70454545454545,13.636363636363635,7.954545454545454,7.386363636363638,4.545454545454546
214,215,-0.02922744331224117,-0.010548113241920398,-0.05960260879070162,-0.006521976754071679,0.12253907720708795,PILAR,51.714285714285715,48.28571428571429,22.766570605187322,16.42651296829971,22.190201729106633,15.273775216138327,9.221902017291066,10.662824207492797,3.4582132564841497,20.35928143712575,16.766467065868262,23.353293413173645,13.17365269461078,8.982035928143713,11.377245508982035,5.9880239520958085,25.0,16.11111111111111,21.11111111111111,17.22222222222222,9.444444444444443,10.0,1.1111111111111112
215,216,-0.02714753648539727,-0.0032155167978597486,-0.0989693196823927,-0.005599286584006446,0.15486786369638667,PILAR,52.57142857142857,47.42857142857143,30.232558139534877,16.569767441860467,19.476744186046513,15.116279069767439,10.465116279069766,6.104651162790698,2.0348837209302326,31.707317073170728,18.29268292682927,18.902439024390247,15.24390243902439,7.926829268292682,5.487804878048781,2.4390243902439024,28.88888888888889,15.0,20.0,15.0,12.777777777777775,6.666666666666668,1.6666666666666667
216,217,-0.02891628371190101,-0.0031148206236221825,0.005875933623611274,0.0055578709542976855,0.045417155642322016,PILAR,52.0,48.0,18.023255813953487,25.0,20.05813953488372,14.534883720930235,12.209302325581396,5.5232558139534875,4.651162790697675,15.568862275449105,23.353293413173645,24.550898203592812,10.778443113772457,14.97005988023952,4.790419161676646,5.9880239520958085,20.33898305084746,26.553672316384183,15.819209039548024,18.079096045197737,9.604519774011301,6.214689265536723,3.3898305084745757
217,218,-0.047126395543393526,-0.005991500353880123,-0.03164047083995153,-0.023832277128906947,0.12703154914693687,PILAR,48.57142857142857,51.42857142857142,24.489795918367342,22.740524781341108,19.24198250728863,12.82798833819242,11.661807580174925,4.956268221574344,4.081632653061225,19.540229885057467,24.13793103448276,19.540229885057467,12.06896551724138,13.218390804597702,6.321839080459771,5.172413793103448,29.58579881656805,21.301775147929,18.93491124260355,13.6094674556213,10.059171597633137,3.5502958579881656,2.9585798816568047
218,219,-0.01162612005579592,0.003339480341395376,-0.14370995578882662,0.0006265219755538214,0.17665555476747757,PILAR,50.57142857142857,49.42857142857143,27.167630057803464,22.543352601156073,19.653179190751445,13.583815028901732,9.53757225433526,4.624277456647398,2.8901734104046244,26.16279069767442,25.0,22.67441860465116,11.627906976744184,7.558139534883719,4.069767441860465,2.9069767441860463,28.160919540229887,20.114942528735632,16.666666666666664,15.517241379310345,11.494252873563216,5.172413793103448,2.8735632183908044
219,220,-0.029457142857142862,-0.019428571428571424,-0.06445714285714294,-0.0036857142857142852,0.14022857142857142,PILAR,54.28571428571429,45.714285714285715,26.08695652173913,18.84057971014493,19.710144927536234,17.971014492753625,7.5362318840579725,5.797101449275362,4.057971014492753,27.38853503184713,23.56687898089172,17.834394904458602,19.745222929936308,4.4585987261146505,2.5477707006369434,4.4585987261146505,25.0,14.893617021276595,21.27659574468085,16.48936170212766,10.106382978723405,8.51063829787234,3.723404255319149
220,221,-0.017999196464443548,-0.008633543145395293,-0.042971295924289055,0.010642382036516226,0.07422882907013084,PILAR,46.28571428571429,53.714285714285715,21.902017291066283,21.902017291066283,18.443804034582133,12.391930835734868,10.95100864553314,7.780979827089339,6.628242074927955,20.43010752688172,20.967741935483872,20.43010752688172,10.752688172043008,12.365591397849462,7.526881720430107,7.526881720430107,23.60248447204969,22.981366459627328,16.149068322981368,14.285714285714285,9.316770186335404,8.074534161490684,5.590062111801243
