,mesa,CONSENSO FEDERAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE TODOS,FRENTE NOS,JUNTOS POR EL CAMBIO,CONSENSO FEDERAL cant,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD cant,FRENTE DE TODOS cant,FRENTE NOS cant,JUNTOS POR EL CAMBIO cant,localidad,school,pmale,pfemale,18-25,25-35,35-45,45-55,55-65,65-75,>75,18-25_m,25-35_m,35-45_m,45-55_m,55-65_m,65-75_m,>75_m,18-25_f,25-35_f,35-45_f,45-55_f,55-65_f,65-75_f,>75_f
15,16,0.041666666666666664,0.011363636363636364,0.5113636363636364,0.01893939393939394,0.4166666666666667,11,3,135,5,110,MANZONE,COLEGIO N.SRA.DE LA PAZ(EP/ES),50.0,50.0,28.2798833819242,23.03206997084548,17.49271137026239,15.160349854227405,9.620991253644316,4.373177842565598,2.0408163265306123,28.994082840236693,18.343195266272193,20.118343195266274,18.93491124260355,8.284023668639055,4.733727810650888,0.591715976331361,27.58620689655172,27.58620689655172,14.942528735632186,11.494252873563216,10.919540229885056,4.022988505747127,3.4482758620689653
16,17,0.043010752688172046,0.007168458781362007,0.4731182795698925,0.0035842293906810036,0.4731182795698925,12,2,132,1,132,MANZONE,COLEGIO N.SRA.DE LA PAZ(EP/ES),51.14285714285714,48.85714285714285,23.75366568914956,22.87390029325513,22.58064516129032,14.66275659824047,9.677419354838712,4.10557184750733,2.3460410557184748,27.108433734939762,25.30120481927711,22.289156626506024,13.253012048192772,7.2289156626506035,1.8072289156626504,3.0120481927710845,20.57142857142857,20.57142857142857,22.857142857142854,16.0,12.0,6.285714285714287,1.7142857142857144
17,18,0.01893939393939394,0.03787878787878788,0.4583333333333333,0.01893939393939394,0.4659090909090909,5,10,121,5,123,MANZONE,COLEGIO N.SRA.DE LA PAZ(EP/ES),49.714285714285715,50.28571428571429,25.146198830409354,18.421052631578945,20.175438596491226,17.543859649122805,9.35672514619883,5.847953216374267,3.5087719298245608,25.443786982248522,20.118343195266274,18.93491124260355,21.301775147929,6.508875739644972,5.9171597633136095,1.7751479289940828,24.855491329479772,16.76300578034682,21.387283236994218,13.872832369942195,12.13872832369942,5.780346820809249,5.202312138728324
18,19,0.043478260869565216,0.019762845849802372,0.525691699604743,0.019762845849802372,0.391304347826087,11,5,133,5,99,MANZONE,ESCUELA SANTA MARIA,48.85714285714285,51.14285714285714,21.21212121212121,31.51515151515151,20.0,12.424242424242426,7.878787878787877,5.151515151515151,1.818181818181818,19.018404907975462,30.67484662576687,18.404907975460123,14.11042944785276,12.269938650306747,4.294478527607362,1.2269938650306749,23.353293413173645,32.335329341317355,21.556886227544908,10.778443113772457,3.5928143712574854,5.9880239520958085,2.395209580838324
19,20,0.038461538461538464,0.026923076923076925,0.4423076923076923,0.011538461538461539,0.4807692307692308,10,7,115,3,125,MANZONE,ESCUELA SANTA MARIA,51.14285714285714,48.85714285714285,22.222222222222218,24.624624624624623,20.720720720720717,12.912912912912915,11.111111111111109,4.504504504504505,3.903903903903904,19.62025316455696,25.94936708860759,20.88607594936709,14.556962025316455,7.59493670886076,5.69620253164557,5.69620253164557,24.57142857142857,23.42857142857143,20.57142857142857,11.428571428571427,14.285714285714285,3.428571428571429,2.2857142857142856
20,21,0.04044117647058824,0.04779411764705882,0.3897058823529412,0.029411764705882353,0.49264705882352944,11,13,106,8,134,MANZONE,ESCUELA SANTA MARIA,47.42857142857143,52.57142857142857,27.810650887573967,20.118343195266274,22.189349112426036,13.905325443786984,6.8047337278106514,6.213017751479289,2.9585798816568047,22.988505747126432,20.114942528735632,24.13793103448276,14.942528735632186,7.471264367816093,7.471264367816093,2.8735632183908044,32.92682926829269,20.1219512195122,20.1219512195122,12.80487804878049,6.097560975609755,4.878048780487805,3.0487804878048776
21,22,0.04529616724738676,0.017421602787456445,0.45993031358885017,0.003484320557491289,0.4738675958188153,13,5,132,1,136,MANZONE,ESCUELA SANTA MARIA,48.85714285714285,51.14285714285714,22.7810650887574,23.96449704142012,21.893491124260358,13.905325443786984,9.467455621301776,5.029585798816568,2.9585798816568047,22.02380952380952,23.214285714285715,25.0,14.88095238095238,5.952380952380952,5.357142857142857,3.571428571428571,23.529411764705877,24.705882352941174,18.823529411764707,12.941176470588234,12.941176470588234,4.705882352941177,2.3529411764705883
22,23,0.045112781954887216,0.011278195488721804,0.5375939849624061,0.015037593984962405,0.39097744360902253,12,3,143,4,104,MANZONE,ESCUELA SANTA MARIA,53.714285714285715,46.28571428571429,29.793510324483773,17.994100294985248,19.469026548672566,16.519174041297937,8.849557522123892,5.3097345132743365,2.0648967551622417,32.6797385620915,16.33986928104575,18.300653594771237,15.68627450980392,10.45751633986928,4.575163398692809,1.96078431372549,27.41935483870968,19.354838709677423,20.43010752688172,17.20430107526882,7.526881720430107,5.913978494623656,2.1505376344086025
23,24,0.029850746268656716,0.0037313432835820895,0.4552238805970149,0.007462686567164179,0.503731343283582,8,1,122,2,135,MANZONE,ESCUELA SANTA MARIA,47.714285714285715,52.28571428571429,21.686746987951807,22.891566265060238,22.289156626506024,13.554216867469881,9.036144578313252,4.819277108433735,5.7228915662650595,22.75449101796407,22.75449101796407,26.34730538922156,12.574850299401195,7.7844311377245505,5.9880239520958085,1.7964071856287425,20.60606060606061,23.03030303030303,18.181818181818183,14.545454545454545,10.303030303030305,3.636363636363636,9.696969696969695
24,25,0.025925925925925925,0.03333333333333333,0.4185185185185185,0.022222222222222223,0.5,7,9,113,6,135,MANZONE,ESCUELA SANTA MARIA,46.28571428571429,53.714285714285715,20.60606060606061,26.66666666666667,21.21212121212121,16.363636363636363,8.484848484848486,4.242424242424243,2.4242424242424243,18.823529411764707,25.882352941176478,18.823529411764707,18.235294117647054,10.588235294117649,4.705882352941177,2.9411764705882346,22.5,27.500000000000004,23.75,14.374999999999998,6.25,3.75,1.875
25,26,0.02127659574468085,0.01773049645390071,0.5602836879432624,0.028368794326241134,0.3723404255319149,6,5,158,8,105,MANZONE,ESCUELA SANTA MARIA,48.0,52.0,18.639053254437872,21.005917159763317,24.556213017751478,13.905325443786984,8.579881656804734,8.284023668639055,5.029585798816568,20.348837209302324,19.767441860465123,21.51162790697675,18.023255813953487,8.13953488372093,8.13953488372093,4.069767441860465,16.867469879518072,22.289156626506024,27.710843373493976,9.63855421686747,9.036144578313252,8.433734939759036,6.024096385542169
26,27,0.03968253968253968,0.015873015873015872,0.5873015873015873,0.01984126984126984,0.3373015873015873,10,4,148,5,85,MANZONE,ESCUELA SANTA MARIA,46.0,54.0,25.29761904761905,25.595238095238088,19.642857142857142,13.095238095238097,11.01190476190476,3.273809523809524,2.083333333333333,25.280898876404496,21.34831460674157,21.910112359550567,12.921348314606742,13.483146067415731,3.9325842696629216,1.1235955056179776,25.31645569620253,30.37974683544304,17.088607594936708,13.291139240506327,8.227848101265822,2.5316455696202533,3.1645569620253164
