,mesa,CONSENSO FEDERAL,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE TODOS,FRENTE NOS,JUNTOS POR EL CAMBIO,localidad,school,pmale,pfemale,18-25,25-35,35-45,45-55,55-65,65-75,>75,18-25_m,25-35_m,35-45_m,45-55_m,55-65_m,65-75_m,>75_m,18-25_f,25-35_f,35-45_f,45-55_f,55-65_f,65-75_f,>75_f
191,192,0.07378335949764521,0.030612244897959183,0.42464678178963894,0.029042386185243328,0.4191522762951334,PILAR,ESCUELA EP N°4,54.85714285714286,45.14285714285714,24.057971014492754,24.92753623188406,17.681159420289855,13.043478260869565,9.855072463768117,6.666666666666668,3.7681159420289863,25.64102564102564,27.56410256410257,15.384615384615385,10.256410256410255,11.538461538461537,5.769230769230768,3.8461538461538463,22.75132275132275,22.75132275132275,19.576719576719576,15.343915343915345,8.465608465608465,7.4074074074074066,3.7037037037037033
192,193,0.08282208588957056,0.04447852760736196,0.5498466257668712,0.013036809815950921,0.2906441717791411,PILAR,ESCUELA EP N°4,50.0,50.0,27.246376811594207,19.420289855072465,22.02898550724637,13.333333333333336,10.434782608695652,4.63768115942029,2.898550724637681,27.90697674418605,19.186046511627904,19.767441860465123,12.209302325581396,11.627906976744184,4.069767441860465,5.232558139534883,26.589595375722546,19.653179190751445,24.277456647398843,14.450867052023122,9.248554913294797,5.202312138728324,0.5780346820809248
193,194,0.043887147335423204,0.041536050156739814,0.4655172413793104,0.016457680250783698,0.4114420062695925,PILAR,ESCUELA EP N°4,52.57142857142857,47.42857142857143,21.637426900584803,21.345029239766077,18.128654970760234,16.08187134502924,12.865497076023393,8.187134502923977,1.7543859649122806,21.875,20.625,18.75,15.625,13.125,8.75,1.25,21.428571428571427,21.978021978021975,17.582417582417587,16.483516483516482,12.637362637362635,7.6923076923076925,2.1978021978021984
194,195,0.1145985401459854,0.040145985401459854,0.43284671532846714,0.020437956204379562,0.35401459854014594,PILAR,ESCUELA EP N°4,51.714285714285715,48.28571428571429,25.93659942363112,21.613832853025933,16.138328530259365,15.273775216138327,12.391930835734868,6.628242074927955,2.0172910662824206,23.353293413173645,20.95808383233533,17.964071856287426,17.365269461077844,9.580838323353293,7.185628742514971,3.5928143712574854,28.33333333333333,22.222222222222218,14.444444444444445,13.333333333333336,15.0,6.111111111111112,0.5555555555555556
195,196,0.06839622641509434,0.029874213836477984,0.5338050314465409,0.02908805031446541,0.3238993710691824,PILAR,ESCUELA EST N°1,48.28571428571429,51.714285714285715,25.65597667638484,20.40816326530612,20.40816326530612,11.661807580174925,11.370262390670554,6.997084548104956,3.498542274052478,24.0,21.714285714285715,20.0,13.714285714285715,9.142857142857142,6.285714285714287,5.1428571428571415,27.380952380952387,19.047619047619047,20.833333333333336,9.523809523809524,13.690476190476193,7.738095238095237,1.7857142857142856
196,197,0.05620805369127517,0.035234899328859065,0.4832214765100671,0.030201342281879196,0.3573825503355705,PILAR,ESCUELA EST N°1,49.714285714285715,50.28571428571429,25.360230547550437,24.783861671469737,13.832853025936599,17.579250720461097,9.510086455331413,5.475504322766571,3.4582132564841497,22.41379310344828,28.73563218390805,12.06896551724138,18.39080459770115,8.620689655172415,5.172413793103448,4.597701149425287,28.323699421965323,20.809248554913296,15.606936416184974,16.76300578034682,10.404624277456648,5.780346820809249,2.312138728323699
197,198,0.07472178060413355,0.03100158982511924,0.4904610492845787,0.04689984101748808,0.32432432432432434,PILAR,ESCUELA EST N°1,56.57142857142857,43.42857142857143,20.057306590257877,26.074498567335237,18.33810888252149,16.618911174785097,9.455587392550145,5.730659025787967,3.7249283667621778,19.86754966887417,28.47682119205298,18.54304635761589,18.54304635761589,7.284768211920531,3.3112582781456954,3.9735099337748343,20.2020202020202,24.24242424242424,18.181818181818183,15.151515151515152,11.111111111111109,7.575757575757576,3.5353535353535355
198,199,0.05605935696619951,0.026380873866446827,0.5111294311624073,0.028854080791426217,0.3553173948887057,PILAR,ESCUELA EST N°1,47.14285714285714,52.85714285714286,22.89855072463768,20.28985507246377,23.47826086956522,11.884057971014492,13.333333333333336,6.376811594202898,1.7391304347826086,22.404371584699454,21.857923497267763,21.857923497267763,10.382513661202186,14.207650273224044,7.650273224043716,1.639344262295082,23.456790123456788,18.51851851851852,25.308641975308642,13.580246913580249,12.345679012345679,4.938271604938271,1.851851851851852
199,200,0.048939641109298535,0.020391517128874388,0.4836867862969005,0.018760195758564434,0.3931484502446982,PILAR,ESCUELA EST N°1,51.714285714285715,48.28571428571429,24.42528735632184,21.26436781609195,18.96551724137931,14.942528735632186,11.20689655172414,7.471264367816093,1.7241379310344829,26.34730538922156,19.161676646706592,19.760479041916167,14.371257485029941,10.778443113772457,8.383233532934131,1.1976047904191618,22.651933701657462,23.204419889502763,18.232044198895032,15.469613259668508,11.602209944751381,6.629834254143647,2.2099447513812147
200,201,0.0694006309148265,0.022082018927444796,0.526813880126183,0.032334384858044164,0.31545741324921134,PILAR,ESCUELA EST N°1,52.0,48.0,22.318840579710145,23.768115942028984,19.420289855072465,13.91304347826087,10.72463768115942,7.82608695652174,2.0289855072463765,21.084337349397593,25.903614457831324,17.46987951807229,13.855421686746988,12.048192771084338,8.433734939759036,1.2048192771084338,23.463687150837988,21.787709497206702,21.22905027932961,13.966480446927376,9.497206703910614,7.262569832402235,2.793296089385475
201,202,0.07081038552321006,0.024390243902439025,0.5405192761605035,0.011801730920535013,0.3351691581431943,PILAR,ESCUELA EST N°1,50.85714285714285,49.14285714285714,19.653179190751445,26.300578034682086,19.653179190751445,13.583815028901732,10.115606936416183,6.9364161849710975,3.757225433526012,18.823529411764707,26.470588235294123,20.588235294117645,12.352941176470587,10.0,7.647058823529411,4.117647058823529,20.454545454545453,26.13636363636364,18.75,14.772727272727273,10.227272727272727,6.25,3.4090909090909087
202,203,0.0528052805280528,0.013201320132013203,0.5495049504950494,0.009900990099009901,0.33828382838283827,PILAR,ESCUELA EST N°1,49.714285714285715,50.28571428571429,21.676300578034677,22.543352601156073,18.786127167630056,13.583815028901732,11.271676300578036,8.670520231213873,3.4682080924855487,21.142857142857142,25.142857142857146,16.57142857142857,13.142857142857142,11.428571428571427,8.0,4.571428571428571,22.222222222222218,19.883040935672515,21.052631578947366,14.035087719298243,11.111111111111109,9.35672514619883,2.3391812865497075
