,mesa,1PAIS,CAMBIEMOS BUENOS AIRES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,SUMEMOS PILAR,UNIDAD CIUDADANA,1PAIS cant,CAMBIEMOS BUENOS AIRES cant,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES cant,FRENTE JUSTICIALISTA cant,SUMEMOS PILAR cant,UNIDAD CIUDADANA cant,localidad,school,18-25,25-35,35-45,45-55,55-65,65-75,>75
14,15,0.10037174721189591,0.46096654275092935,0.048327137546468404,0.055762081784386616,0.026022304832713755,0.30855018587360594,27,124,13,15,7,83,Pilar,ESCUELA EP N°18,23.235294117647058,16.76470588235294,20.88235294117647,16.470588235294116,10.588235294117649,8.235294117647058,3.8235294117647056
15,16,0.11152416356877323,0.3643122676579926,0.06319702602230483,0.03345724907063197,0.040892193308550186,0.38661710037174724,30,98,17,9,11,104,Pilar,ESCUELA EP N°18,20.28985507246377,28.98550724637681,22.318840579710145,13.333333333333336,7.5362318840579725,5.217391304347826,2.318840579710145
16,17,0.0933852140077821,0.41245136186770426,0.0622568093385214,0.04669260700389105,0.042801556420233464,0.3424124513618677,24,106,16,12,11,88,Pilar,INST. ALMAFUERTE/N.S.DE FATIMA,17.71771771771772,22.52252252252252,22.822822822822822,15.615615615615615,9.60960960960961,6.306306306306306,5.405405405405406
17,18,0.12927756653992395,0.44866920152091255,0.019011406844106463,0.06463878326996197,0.03802281368821293,0.30038022813688214,34,118,5,17,10,79,Pilar,INST. ALMAFUERTE/N.S.DE FATIMA,21.686746987951807,25.30120481927711,18.072289156626507,11.445783132530119,12.048192771084338,7.2289156626506035,4.216867469879518
18,19,0.08921933085501858,0.5092936802973977,0.03717472118959108,0.03345724907063197,0.040892193308550186,0.2899628252788104,24,137,10,9,11,78,Pilar,INST. ALMAFUERTE/N.S.DE FATIMA,25.21994134897361,23.167155425219942,18.181818181818183,10.263929618768328,9.384164222873899,8.504398826979473,5.278592375366569
19,20,0.1423076923076923,0.3730769230769231,0.046153846153846156,0.03461538461538462,0.05384615384615385,0.35,37,97,12,9,14,91,Pilar,INST. ALMAFUERTE/N.S.DE FATIMA,26.253687315634213,21.53392330383481,21.53392330383481,14.454277286135696,8.849557522123892,4.71976401179941,2.6548672566371683
20,21,0.09285714285714286,0.45,0.05357142857142857,0.02857142857142857,0.07857142857142857,0.29642857142857143,26,126,15,8,22,83,Pilar,INST. ALMAFUERTE/N.S.DE FATIMA,20.180722891566266,25.30120481927711,15.36144578313253,16.265060240963855,13.253012048192772,7.53012048192771,2.108433734939759
21,22,0.10943396226415095,0.4339622641509434,0.052830188679245285,0.07924528301886792,0.04150943396226415,0.2830188679245283,29,115,14,21,11,75,Pilar,INST. ALMAFUERTE/N.S.DE FATIMA,22.25519287833828,25.816023738872403,22.848664688427302,11.572700296735905,7.715133531157269,6.528189910979228,3.2640949554896146
22,23,0.06569343065693431,0.4744525547445255,0.040145985401459854,0.05474452554744526,0.051094890510948905,0.31386861313868614,18,130,11,15,14,86,Pilar,INST. ALMAFUERTE/N.S.DE FATIMA,21.32132132132132,24.024024024024023,21.621621621621625,15.615615615615615,9.90990990990991,3.603603603603604,3.903903903903904
23,24,0.07392996108949416,0.377431906614786,0.0311284046692607,0.04669260700389105,0.027237354085603113,0.44357976653696496,19,97,8,12,7,114,Pilar,INST. ALMAFUERTE/N.S.DE FATIMA,20.48192771084337,29.216867469879517,20.48192771084337,13.253012048192772,9.63855421686747,4.819277108433735,2.108433734939759
24,25,0.10852713178294573,0.4496124031007752,0.05813953488372093,0.027131782945736434,0.06589147286821706,0.29069767441860467,28,116,15,7,17,75,Pilar,INST. ALMAFUERTE/N.S.DE FATIMA,21.45015105740181,23.262839879154075,19.335347432024168,11.782477341389727,9.667673716012084,7.552870090634442,6.948640483383686
25,26,0.08727272727272728,0.48363636363636364,0.05818181818181818,0.07272727272727272,0.06545454545454546,0.23272727272727273,24,133,16,20,18,64,Pilar,INST. ALMAFUERTE/N.S.DE FATIMA,18.93491124260355,25.7396449704142,18.93491124260355,12.721893491124261,12.426035502958579,7.396449704142013,3.8461538461538463
26,27,0.12734082397003746,0.4681647940074906,0.04868913857677903,0.033707865168539325,0.033707865168539325,0.2883895131086142,34,125,13,9,9,77,Pilar,INST. ALMAFUERTE/N.S.DE FATIMA,27.710843373493976,15.963855421686745,21.987951807228914,15.06024096385542,10.843373493975903,5.120481927710842,3.313253012048193
27,28,0.07246376811594203,0.5108695652173914,0.021739130434782608,0.036231884057971016,0.07246376811594203,0.286231884057971,20,141,6,10,20,79,Pilar,INST. ALMAFUERTE/N.S.DE FATIMA,20.058997050147493,19.76401179941003,21.53392330383481,13.569321533923304,11.50442477876106,10.029498525073748,3.5398230088495577
28,29,0.07581227436823104,0.4584837545126354,0.07220216606498195,0.04693140794223827,0.01444043321299639,0.33212996389891697,21,127,20,13,4,92,Pilar,ESCUELA EDUC.ESPECIAL N°501,25.7396449704142,22.7810650887574,23.96449704142012,11.538461538461537,5.9171597633136095,8.284023668639055,1.7751479289940828
